,date,id,meals,occasion
221,1900-02-20,12738.0,LUNCH,UNKNOWN
222,1900-02-21,12739.0,BREAKFAST,UNKNOWN
223,1900-02-21,12740.0,BREAKFAST,UNKNOWN
224,1900-02-21,12746.0,BREAKFAST,UNKNOWN
225,1900-02-21,12747.0,BREAKFAST,UNKNOWN
226,1900-04-23,12749.0,DINNER,UNKNOWN
227,1900-04-23,12751.0,BREAKFAST,UNKNOWN
228,1900-04-23,12754.0,BREAKFAST,UNKNOWN
229,1900-04-23,12755.0,DAILY,UNKNOWN
230,1900-04-23,12757.0,BREAKFAST,UNKNOWN
231,1900-04-23,12758.0,DINNER,UNKNOWN
232,1900-04-24,12759.0,BANQUET,RITE
233,1900-04-24,12763.0,DINNER,UNKNOWN
234,1900-04-25,12764.0,DINNER,UNKNOWN
235,1900-04-25,12765.0,LUNCH,UNKNOWN
236,1900-04-25,12766.0,DINNER,UNKNOWN
237,1900-04-25,12767.0,LUNCH,UNKNOWN
238,1900-02-27,12768.0,DINNER,UNKNOWN
239,1900-02-28,12769.0,BREAKFAST,UNKNOWN
240,1900-02-27,12770.0,DINNER,UNKNOWN
241,1900-02-27,12771.0,BREAKFAST,UNKNOWN
242,1900-03-13,12772.0,LUNCH,UNKNOWN
243,1900-03-13,12773.0,DINNER,UNKNOWN
244,1900-03-14,12774.0,DAILY,UNKNOWN
245,1900-03-14,12775.0,DINNER,UNKNOWN
246,1900-03-14,12776.0,LUNCH,UNKNOWN
247,1900-02-12,12778.0,DINNER,UNKNOWN
248,1900-02-12,12780.0,DAILY,UNKNOWN
249,1900-02-12,12781.0,DINNER,UNKNOWN
250,1900-01-12,12782.0,DINNER,UNKNOWN
251,1900-02-12,12783.0,DAILY,UNKNOWN
252,1900-02-12,12784.0,CAFE,UNKNOWN
253,1900-01-01,12786.0,LUNCH,UNKNOWN
254,1900-02-12,12787.0,DAILY,UNKNOWN
255,1900-02-12,12788.0,UNKNOWN,UNKNOWN
256,1900-02-13,12789.0,UNKNOWN,UNKNOWN
257,1900-02-13,12790.0,BREAKFAST,TRAVEL
258,1900-02-13,12792.0,LUNCH,UNKNOWN
259,1900-02-13,12793.0,LUNCH,UNKNOWN
260,1900-04-03,12794.0,DINNER,UNKNOWN
261,1900-04-03,12795.0,DAILY,UNKNOWN
262,1900-04-04,12797.0,LUNCH,UNKNOWN
263,1900-04-05,12798.0,DINNER,UNKNOWN
264,1900-04-05,12799.0,DINNER,UNKNOWN
265,1900-04-05,12800.0,DINNER,UNKNOWN
266,1900-04-05,12801.0,DINNER,EVENT
267,1900-04-06,12802.0,DINNER,UNKNOWN
268,1900-04-06,12803.0,DINNER,UNKNOWN
269,1900-04-07,12804.0,DAILY,UNKNOWN
270,1900-04-07,12805.0,DINNER,UNKNOWN
271,1900-04-07,12806.0,DINNER,UNKNOWN
272,1900-04-07,12807.0,DINNER,UNKNOWN
273,1900-04-07,12808.0,DINNER,UNKNOWN
274,1900-04-07,12809.0,LUNCH,UNKNOWN
275,1900-04-25,12810.0,BREAKFAST,UNKNOWN
276,1900-04-25,12811.0,BREAKFAST,UNKNOWN
277,1900-04-26,12812.0,BANQUET,UNKNOWN
278,1900-04-26,12814.0,DAILY,UNKNOWN
279,1900-04-26,12815.0,DAILY,UNKNOWN
280,1900-04-26,12816.0,DINNER,EVENT
281,1900-04-26,12817.0,LUNCH,UNKNOWN
282,1900-04-26,12818.0,DINNER,UNKNOWN
283,1900-04-26,12819.0,DAILY,UNKNOWN
284,1900-04-26,12820.0,DINNER,UNKNOWN
285,1900-04-26,12821.0,BREAKFAST,UNKNOWN
286,1900-04-27,12824.0,BANQUET,NATIONAL
287,1900-04-27,12826.0,BANQUET,UNKNOWN
288,1900-04-27,12827.0,BANQUET,UNKNOWN
289,1900-04-27,12828.0,BREAKFAST,UNKNOWN
290,1900-03-01,12831.0,DINNER,UNKNOWN
291,1900-03-01,12833.0,BREAKFAST,UNKNOWN
292,1900-03-01,12834.0,LUNCH,UNKNOWN
293,1900-03-01,12835.0,DINNER,UNKNOWN
294,1900-03-01,12836.0,BANQUET,EVENT
295,1900-03-01,12837.0,LUNCH,UNKNOWN
296,1900-03-01,12838.0,DINNER,UNKNOWN
